"","name","category_list","market","funding_total_usd","status","state_code","region","city","funding_rounds","founded_at","founded_month","founded_quarter","founded_year","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","first_funding_day","first_funding_month","first_funding_year","last_funding_day","last_funding_month","last_funding_year","post_success"
"1","#waywire","|Entertainment|Politics|Social Media|News|","News",1750000,"acquired","NY","New York City","New York",1,"1","6","Q2","2012",1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30","6","2012","30","6","2012","1"
"8","1-800-DOCTORS","|Health and Wellness|","Health and Wellness",1750000,"operating","NJ","Newark","Iselin",1,"1","1","Q1","1984",0,0,0,0,1750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","3","2011","2","3","2011","0"
"10","10-20 Media","|E-Commerce|","E-Commerce",2050000,"operating","MD","Baltimore","Woodbine",4,"1","1","Q1","2001",0,0,0,0,0,2050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"18","6","2009","28","12","2011","0"
"11","1000 Corks","|Search|","Search",40000,"operating","OR","Portland, Oregon","Lake Oswego",1,"1","1","Q1","2008",40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23","8","2011","23","8","2011","0"
"12","1000memories","|Curated Web|","Curated Web",2535000,"acquired","CA","SF Bay Area","San Francisco",2,"1","7","Q3","2010",15000,2520000,0,0,0,0,0,0,0,0,0,0,0,2520000,0,0,0,0,0,0,0,"1","1","2010","16","2","2011","1"
"13","1000museums.com","|Curated Web|","Curated Web",4962651,"operating","WA","Seattle","Bellevue",6,"1","1","Q1","2008",0,3814772,0,0,0,1147879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14","10","2009","19","9","2014","0"
"14","100health","|Health Care Information Technology|","Health Care Information Technology",420000,"operating","WI","Madison","Madison",1,"4","7","Q3","2014",420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26","11","2014","26","11","2014","0"
"15","100Plus","|Analytics|","Analytics",1250000,"acquired","CA","SF Bay Area","San Francisco",2,"16","9","Q3","2011",750000,5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","11","2011","30","11","2011","1"
"16","1010data","|Software|","Software",3.5e+07,"operating","NY","New York City","New York",1,"1","1","Q1","2000",0,3.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","3","2010","8","3","2010","0"
"17","10BestThings","|Curated Web|","Curated Web",50000,"closed","OH","Cleveland","Cleveland",1,"1","4","Q2","2009",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","4","2009","1","4","2009","0"
"19","10X Technologies","|Biotechnology|","Biotechnology",3e+06,"operating","CA","SF Bay Area","Oakland",1,"1","1","Q1","2012",0,0,0,0,0,3e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","11","2012","7","11","2012","0"
"20","10X10 Room","|Software|","Software",77500,"operating","MA","Boston","Lexington",1,"1","1","Q1","2010",0,0,0,0,0,77500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12","10","2011","12","10","2011","0"
"24","121nexus","|Politics|Technology|Medical Devices|Pharmaceuticals|Personalization|Software|","Pharmaceuticals",794000,"operating","RI","Providence","Providence",6,"7","10","Q4","2011",69000,0,0,0,0,0,5e+05,225000,0,0,0,0,0,0,0,0,0,0,0,0,0,"6","2","2012","1","1","2014","0"
"26","1366 Technologies","|Manufacturing|","Manufacturing",66450000,"operating","MA","Boston","Bedford",8,"1","1","Q1","2007",0,63450000,0,0,0,0,0,3e+06,0,0,0,0,0,12400000,28400000,17500000,0,0,0,0,0,"27","3","2008","12","12","2013","0"
"27","140 Proof","|Interest Graph|Advertising|","Advertising",5500000,"operating","CA","SF Bay Area","San Francisco",2,"11","1","Q1","2010",0,5500000,0,0,0,0,0,0,0,0,0,0,0,3e+06,2500000,0,0,0,0,0,0,"1","7","2009","28","4","2011","0"
"28","140Fire","|Entertainment|Sports|Real Time|Social Media|Video|Advertising|","Entertainment",5e+05,"operating","CA","Los Angeles","Santa Monica",1,"1","1","Q1","2010",5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5","5","2010","5","5","2010","0"
"29","15Five","|Software|","Software",3400000,"operating","CA","SF Bay Area","San Francisco",3,"1","5","Q2","2011",2200000,0,0,0,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","2012","2","10","2014","0"
"31","169 ST.","|Entertainment|Games|","Games",50000,"operating","FL","Orlando","Lake Mary",1,"15","5","Q2","2009",0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","6","2009","1","6","2009","0"
"32","170 Systems","|Software|","Software",1.4e+07,"acquired","MA","Boston","Bedford",1,"1","1","Q1","1990",0,1.4e+07,0,0,0,0,0,0,0,0,0,0,0,1.4e+07,0,0,0,0,0,0,0,"16","4","2002","16","4","2002","1"
"35","1DayMakeover","|Shopping|Cosmetics|Personal Health|Lifestyle|Fashion|E-Commerce|","E-Commerce",50000,"closed","CA","Orange County, California","Santa Ana",1,"30","6","Q2","2008",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"30","6","2008","30","6","2008","0"
"37","1Energy Systems","|Software|","Software",1450000,"operating","WA","Seattle","Seattle",1,"1","1","Q1","2010",0,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22","4","2013","22","4","2013","0"
"38","1Life Healthcare","|Services|Health and Wellness|Health Care|","Health and Wellness",3e+07,"operating","CA","SF Bay Area","San Francisco",1,"1","1","Q1","2002",0,3e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+07,0,0,0,"21","3","2013","21","3","2013","0"
"39","1Mind","|Social Media|","Social Media",5e+05,"operating","NH","Manchester, New Hampshire","Hampton Falls",1,"1","1","Q1","2011",5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5","8","2013","5","8","2013","0"
"41","1spire","|Manufacturing|","Manufacturing",30000,"operating","TX","Houston","Houston",1,"1","10","Q4","2011",0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20","12","2011","20","12","2011","0"
"44","1stdibs","|E-Commerce|","E-Commerce",1.17e+08,"operating","NY","New York City","New York",4,"1","1","Q1","2001",0,5.7e+07,0,6e+07,0,0,0,0,0,0,0,0,0,0,0,1.5e+07,0,0,0,0,0,"3","11","2011","24","1","2014","0"
"45","1stGig.com","|E-Commerce|","E-Commerce",750000,"operating","NY","Albany, New York","Saratoga Springs",1,"1","8","Q3","2009",0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","10","2012","1","10","2012","0"
"47","1World Online","|Mobile|Analytics|Big Data|Enterprise Software|","Enterprise Software",1500000,"operating","CA","SF Bay Area","San Jose",2,"1","12","Q4","2011",0,1500000,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0,"2","7","2013","1","12","2013","0"
"48","20/20 Gene Systems Inc.","|Biotechnology|","Biotechnology",150000,"operating","MD","Washington, D.C.","Rockville",1,"1","5","Q2","2000",0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25","9","2012","25","9","2012","0"
"50","20x200","|Social Commerce|Art|E-Commerce|","Art",2800000,"operating","NY","New York City","New York",2,"1","9","Q3","2007",0,2800000,0,0,0,0,0,0,0,0,0,0,0,2800000,0,0,0,0,0,0,0,"1","10","2009","1","8","2010","0"
"53","22nd Century Group","|Biotechnology|","Biotechnology",15034750,"operating","NY","NY - Other","Clarence",6,"1","1","Q1","1998",0,12528500,0,0,0,2506250,0,0,0,0,0,0,0,2428500,0,0,0,0,0,0,0,"28","12","2010","18","9","2014","0"
"54","23andMe","|Search|Biotechnology|","Biotechnology",111949900,"operating","CA","SF Bay Area","Mountain View",6,"1","4","Q2","2006",0,110549900,0,0,0,0,0,1400000,0,0,0,0,0,9e+06,12600000,3.1e+07,57949900,0,0,0,0,"1","5","2007","29","7","2014","0"
"59","24Fundraiser.com","|Non Profit|Social Fundraising|","Social Fundraising",4e+05,"operating","IL","Chicago","Willowbrook",1,"1","8","Q3","2007",4e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","5","2014","1","5","2014","0"
"60","24M Technologies","|Clean Technology|","Clean Technology",1.6e+07,"operating","MD","Salisbury","Cambridge",1,"1","1","Q1","2010",0,1.6e+07,0,0,0,0,0,0,0,0,0,0,0,1.6e+07,0,0,0,0,0,0,0,"16","8","2010","16","8","2010","0"
"61","24PageBooks","|Software|","Software",50000,"closed","NY","Rochester, New York","Rochester",1,"1","1","Q1","2010",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24","5","2011","24","5","2011","0"
"62","250ok","|Software|","Software",2e+05,"operating","IN","Indianapolis","Indianapolis",1,"1","1","Q1","2012",2e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","9","2012","1","9","2012","0"
"64","27 Perry","|Finance|Marketplaces|E-Commerce|","E-Commerce",118000,"closed","CO","Denver","Boulder",1,"25","7","Q3","2012",118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17","5","2012","17","5","2012","0"
"65","28msec","|Cloud Computing|Web Development|Databases|Software|","Software",5844811,"operating","CA","SF Bay Area","Palo Alto",1,"1","1","Q1","2008",0,5844811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"28","10","2013","28","10","2013","0"
"69","2DOLife.com","|Finance|Software|","Software",250000,"operating","CA","SF Bay Area","San Pablo",1,"1","12","Q4","2011",0,0,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,"10","11","2013","10","11","2013","0"
"70","2GO Mobile Solutions","|Software|","Software",275000,"operating","TX","Dallas","Plano",1,"1","1","Q1","2008",0,0,0,0,0,0,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9","4","2010","9","4","2010","0"
"71","2nd Story Software, Inc.","|Software|","Software",8.5e+07,"acquired","IA","Cedar Rapids","Cedar Rapids",1,"15","2","Q1","1998",0,0,0,0,0,0,0,0,8.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,"30","3","2005","30","3","2005","1"
"72","2nd Watch","|Cloud Infrastructure|Corporate IT|Enterprise Software|","Corporate IT",37644420,"operating","WA","Seattle","Seattle",4,"1","1","Q1","2010",0,37644420,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3e+07,0,0,0,0,0,"6","12","2011","14","10","2014","0"
"74","2NGageU","|Social + Mobile + Local|Mobile Social|Mobile|MMO Games|Internet|Entertainment|Social Network Media|Consumers|Women|Games|","Mobile Social",58000,"operating","VT","VT - Other","Williston",1,"26","12","Q4","2011",58000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12","4","2012","12","4","2012","0"
"75","2Nite2Nite.net","|Media|Advertising|","Advertising",6000,"operating","CA","Sacramento","Elk Grove",1,"13","9","Q3","2013",0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13","9","2014","13","9","2014","0"
"77","2U","|Software|Education|","Software",95875000,"operating","MD","Baltimore","Hanover",6,"1","1","Q1","2008",2275000,93600000,0,0,0,0,0,0,0,0,0,0,0,1e+07,2e+07,32500000,31100000,0,0,0,0,"25","3","2009","21","10","2013","0"
"80","3-V Biosciences","|Biotechnology|","Biotechnology",78089000,"operating","CA","SF Bay Area","Menlo Park",4,"1","3","Q1","2007",0,78089000,0,0,0,0,0,0,0,0,0,0,0,0,3e+07,2e+07,0,0,0,0,0,"10","7","2009","21","6","2013","0"
"81","30 Second Showcase","|Apps|Mobile|Design|Photography|Finance|Creative|Software|","Photography",25000,"operating","NJ","Newark","Clifton",1,"1","4","Q2","2013",25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20","5","2013","20","5","2013","0"
"83","312 Capital","|Finance|","Finance",5e+05,"operating","IL","Chicago","Chicago",1,"23","1","Q1","2013",0,0,5e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16","9","2014","16","9","2014","0"
"85","33Across","|Social Network Media|Advertising|","Advertising",25654560,"operating","NY","New York City","New York",5,"1","9","Q3","2007",750000,24904560,0,0,0,0,0,0,0,0,0,0,0,1284560,9e+06,13100000,0,0,0,0,0,"6","2","2009","19","7","2012","0"
"86","360fly, Inc.","|Consumer Electronics|","Consumer Electronics",17800000,"operating","PA","Pittsburgh","Pittsburgh",1,"1","1","Q1","1998",0,17800000,0,0,0,0,0,0,0,0,0,0,0,0,17800000,0,0,0,0,0,0,"11","8","2014","11","8","2014","0"
"87","360imaging","|Dental|Biotechnology|","Biotechnology",1e+06,"operating","GA","Atlanta","Atlanta",2,"1","1","Q1","2005",0,1e+06,0,0,0,0,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,"1","11","2011","1","1","2013","0"
"88","365 Data Centers","|Data Centers|Internet|Services|Information Technology|","Services",1.6e+07,"operating","CA","SF Bay Area","Emeryville",1,"1","1","Q1","2012",0,1.6e+07,0,0,0,0,0,0,0,0,0,0,0,0,1.6e+07,0,0,0,0,0,0,"10","9","2014","10","9","2014","0"
"90","37coins","|Bitcoin|","Bitcoin",25000,"operating","CA","SF Bay Area","Sunnyvale",1,"1","1","Q1","2014",25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15","3","2014","15","3","2014","0"
"91","382 Communications","|Mobile|","Mobile",1600000,"operating","MA","Boston","Quincy",1,"1","1","Q1","2010",0,0,0,0,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13","1","2012","13","1","2012","0"
"92","3ClickEMR Corporation","|Health Care|iPad|Consumer Electronics|Electronic Health Records|Software|","Electronic Health Records",5e+05,"closed","MA","Boston","West Roxbury",2,"23","6","Q2","2010",250000,0,0,0,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23","6","2010","1","6","2011","0"
"93","3CLogic","|Customer Service|Software|","Customer Service",5740000,"operating","MD","Washington, D.C.","Rockville",2,"1","1","Q1","2005",0,4200000,0,0,1540000,0,0,0,0,0,0,0,0,0,4200000,0,0,0,0,0,0,"14","1","2013","4","3","2014","0"
"94","3D Biomatrix","|Biotechnology|","Biotechnology",1465000,"operating","MI","Detroit","Ann Arbor",1,"1","1","Q1","2010",1465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5","2","2013","5","2","2013","0"
"95","3D Control Systems","|Enterprise Software|","Enterprise Software",28000,"operating","CA","SF Bay Area","San Francisco",1,"1","3","Q1","2013",28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"10","11","2013","10","11","2013","0"
"98","3D FUTURE VISION II","|Games|","Games",503000,"closed","FL","Orlando","Longwood",2,"1","1","Q1","2011",0,503000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22","6","2011","21","3","2013","0"
"99","3D Industri.es","|Search|Visualization|Supply Chain Management|Manufacturing|3D|Curated Web|","3D",1200000,"operating","OH","Cincinnati","Cincinnati",2,"1","1","Q1","2011",350000,0,0,0,0,0,850000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","3","2012","1","3","2013","0"
"100","3D Robotics","|Drones|Manufacturing|","Drones",3.5e+07,"operating","CA","San Diego","San Diego",3,"1","1","Q1","2009",0,3.5e+07,0,0,0,0,0,0,0,0,0,0,0,5e+06,3e+07,0,0,0,0,0,0,"5","11","2012","16","9","2014","0"
"101","3D Sports Technology","|Software|","Software",909940,"operating","MN","Minneapolis","Minneapolis",3,"1","1","Q1","2010",0,909940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21","1","2011","25","7","2013","0"
"102","3D Systems","|Software|","Software",169500000,"operating","SC","SC - Other","Rock Hill",3,"1","1","Q1","1986",0,19500000,0,0,0,0,0,0,0,0,1.5e+08,0,0,0,0,0,0,0,0,0,0,"15","1","2014","13","10","2014","0"
"105","3DBin","|E-Commerce|","E-Commerce",4e+05,"operating","CA","SF Bay Area","Redwood City",1,"6","2","Q1","2009",0,4e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12","10","2014","12","10","2014","0"
"106","3dCart Shopping Cart Software","|E-Commerce|","E-Commerce",1250000,"operating","FL","Ft. Lauderdale","Lauderhill",1,"1","5","Q2","1997",0,0,0,0,0,0,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","1","2010","1","1","2010","0"
"112","3FLOZ","|Health and Wellness|Beauty|E-Commerce|Retail|Travel|","Health and Wellness",750000,"operating","NY","New York City","New York",1,"1","11","Q4","2009",750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16","8","2013","16","8","2013","0"
"114","3Jam","|SMS|Messaging|","Messaging",4e+06,"operating","CA","SF Bay Area","San Francisco",1,"1","1","Q1","2005",0,4e+06,0,0,0,0,0,0,0,0,0,0,0,4e+06,0,0,0,0,0,0,0,"1","7","2007","1","7","2007","0"
"116","3Leaf","|Web Hosting|","Web Hosting",6.5e+07,"acquired","CA","SF Bay Area","Santa Clara",3,"1","6","Q2","2004",0,6.5e+07,0,0,0,0,0,0,0,0,0,0,0,1e+07,2e+07,3.5e+07,0,0,0,0,0,"1","1","2005","22","9","2008","1"
"117","3Pillar Global","|Software|","Software",25920000,"operating","VA","Washington, D.C.","Fairfax",4,"1","8","Q3","2006",0,22520000,0,0,0,3400000,0,0,0,0,0,0,0,1.2e+07,0,0,0,0,0,0,0,"29","1","2010","6","6","2013","0"
"118","3Play Media","|Software|","Software",1011601,"operating","MA","Boston","Cambridge",3,"1","1","Q1","2007",50000,961601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8","2","2010","21","10","2011","0"
"120","3Scan","|Biotechnology|","Biotechnology",390000,"operating","CA","SF Bay Area","San Francisco",3,"1","1","Q1","2011",40000,0,0,0,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,"31","8","2011","16","7","2013","0"
"121","3seventy","|Software|","Software",2e+06,"operating","TX","Austin","Austin",1,"1","1","Q1","2008",2e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19","8","2011","19","8","2011","0"
"123","3TEN8","|Software|","Software",1e+06,"operating","CA","SF Bay Area","Santa Clara",1,"15","8","Q3","2013",1e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","9","2014","1","9","2014","0"
"124","3TIER","|Clean Technology|","Clean Technology",1.5e+07,"acquired","WA","Seattle","Seattle",3,"1","1","Q1","1999",0,1.5e+07,0,0,0,0,0,0,0,0,0,0,0,0,2e+06,0,0,0,0,0,0,"5","9","2007","25","2","2010","1"
"125","3VR","|Security|","Security",56567194,"operating","CA","SF Bay Area","San Francisco",6,"1","1","Q1","2002",0,5.3e+07,0,0,0,3567194,0,0,0,0,0,0,0,5e+06,1e+07,9e+06,1.2e+07,1.7e+07,0,0,0,"17","1","2006","4","10","2013","0"
"126","3X Systems","|Flash Storage|Security|","Flash Storage",3393925,"operating","OH","Columbus, Ohio","Columbus",2,"1","11","Q4","2007",0,3393925,0,0,0,0,0,0,0,0,0,0,0,1700000,0,0,0,0,0,0,0,"20","2","2008","26","5","2010","0"
"127","4-Tell","|E-Commerce|","E-Commerce",2234979,"operating","WA","WA - Other","Stevenson",5,"1","4","Q2","2009",25000,1959979,0,0,0,250000,0,0,0,0,0,0,0,1e+06,0,0,0,0,0,0,0,"1","7","2011","26","7","2013","0"
"128","405Labs","|Machine Learning|Network Security|","Machine Learning",81000,"operating","CA","San Diego","San Diego",1,"1","1","Q1","2014",0,81000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22","10","2014","22","10","2014","0"
"129","40billion.com","|Venture Capital|Peer-to-Peer|Networking|Finance|Entrepreneur|Crowdfunding|Social Media|","Entrepreneur",1050000,"operating","GA","Atlanta","Atlanta",3,"23","1","Q1","2008",1050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","4","2008","1","6","2010","0"
"130","410 Labs","|Messaging|","Messaging",750000,"operating","MD","Baltimore","Baltimore",1,"1","1","Q1","2010",0,750000,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,"11","7","2011","11","7","2011","0"
"131","41st Parameter","|Security|","Security",38064570,"acquired","CA","SF Bay Area","San Jose",4,"1","1","Q1","2004",0,38064570,0,0,0,0,0,0,0,0,0,0,0,0,11200000,10070000,1.3e+07,0,0,0,0,"8","5","2006","11","4","2012","1"
"132","42","|Enterprise Software|","Enterprise Software",8e+05,"operating","CA","SF Bay Area","San Francisco",2,"1","1","Q1","2013",8e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"21","2","2013","16","5","2014","0"
"134","42Floors","|Commercial Real Estate|Real Estate|","Commercial Real Estate",17400000,"operating","CA","SF Bay Area","San Francisco",4,"1","1","Q1","2011",4e+05,1.7e+07,0,0,0,0,0,0,0,0,0,0,0,5e+06,1.2e+07,0,0,0,0,0,0,"1","9","2011","31","1","2013","0"
"136","480 Biomedical","|Biotechnology|","Biotechnology",37956999,"operating","MA","Boston","Watertown",3,"1","1","Q1","2011",0,32956999,0,0,0,5e+06,0,0,0,0,0,0,0,1.5e+07,0,0,0,0,0,0,0,"14","2","2012","12","4","2013","0"
"141","4Cable TV","|Clean Technology|","Clean Technology",20900,"operating","SC","Myrtle Beach","Conway",1,"1","1","Q1","2005",20900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7","10","2013","7","10","2013","0"
"143","4DK Technologies","|Mobile|","Mobile",3378975,"operating","VA","Washington, D.C.","Herndon",1,"1","1","Q1","2005",0,0,0,0,0,0,0,0,3378975,0,0,0,0,0,0,0,0,0,0,0,0,"12","12","2011","12","12","2011","0"
"145","4Home","|Automotive|Clean Energy|Internet|Cloud Computing|Wireless|Software|","Cloud Computing",9416354,"acquired","CA","SF Bay Area","Sunnyvale",6,"1","1","Q1","2006",0,9146354,0,0,270000,0,0,0,0,0,0,0,0,2850000,1e+06,5e+05,0,0,0,0,0,"1","8","2006","3","2","2010","1"
"146","4INFO","|Mobile Advertising|Mobile|Information Technology|Local|CRM|Big Data|Advertising|","Advertising",70288000,"operating","CA","SF Bay Area","San Mateo",8,"1","1","Q1","2004",0,64288000,0,0,0,6e+06,0,0,0,0,0,0,0,0,0,8e+06,2.4e+07,8e+06,0,0,0,"1","3","2005","1","8","2014","0"
"147","4moms","|Hardware + Software|","Hardware + Software",6e+07,"operating","PA","Pittsburgh","Pittsburgh",4,"1","1","Q1","2005",0,6e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17","6","2005","10","9","2014","0"
"148","4Soils","|Apps|Kids|Religion|Education|","Kids",50000,"operating","CA","SF Bay Area","Stanford",1,"1","1","Q1","2012",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"26","8","2013","26","8","2013","0"
"150","5 examples","|Software|","Software",250000,"operating","NC","Raleigh","Morrisville",1,"1","1","Q1","2004",0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14","7","2010","14","7","2010","0"
"152","5 O'Clock Records","|Software|","Software",440000,"operating","NY","New York City","New York",2,"1","1","Q1","2012",0,0,0,0,0,0,440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29","3","2012","8","1","2013","0"
"157","500Friends","|Loyalty Programs|Social Media|E-Commerce|Enterprise Software|","E-Commerce",12900000,"acquired","CA","SF Bay Area","San Francisco",6,"1","1","Q1","2010",1400000,9500000,0,0,0,2e+06,0,0,0,0,0,0,0,4500000,5e+06,0,0,0,0,0,0,"15","12","2009","12","3","2013","1"
"159","5BARz International","|Technology|Wireless|Mobile|","Technology",6100000,"operating","WA","Seattle","Seattle",2,"1","1","Q1","2008",0,0,0,0,0,0,0,0,0,6100000,0,0,0,0,0,0,0,0,0,0,0,"12","11","2013","17","11","2014","1"
"162","5min Media","|Education|Video|Games|","Video",12800000,"acquired","NY","New York City","New York",3,"1","1","Q1","2007",0,12500000,0,0,0,0,3e+05,0,0,0,0,0,0,5e+06,7500000,0,0,0,0,0,0,"1","4","2007","23","7","2009","1"
"164","5o9","|Software|","Software",50000,"operating","CO","Denver","Boulder",1,"1","1","Q1","2006",50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14","5","2013","14","5","2013","0"
"165","5th Avenue Media","|Social Media|Distribution|Digital Media|Advertising|","Distribution",250000,"operating","NY","New York City","New York",1,"4","7","Q3","2012",250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2","9","2012","2","9","2012","0"
"166","5th Finger","|Mobile|","Mobile",7e+06,"operating","CA","SF Bay Area","San Francisco",1,"1","1","Q1","2008",0,7e+06,0,0,0,0,0,0,0,0,0,0,0,7e+06,0,0,0,0,0,0,0,"13","6","2008","13","6","2008","0"
"167","5th Planet Games","|Online Gaming|Games|Mobile Games|Mobile|","Mobile Games",3e+06,"operating","CA","Sacramento","Roseville",1,"1","1","Q1","2009",0,3e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16","7","2014","16","7","2014","0"
"168","5to1","|Internet|Internet Marketing|Advertising|","Internet Marketing",17129760,"acquired","WA","Seattle","Seattle",4,"1","1","Q1","2009",0,15302260,0,0,0,1827500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17","6","2009","10","11","2010","1"
"169","64 Pixels","|Social Media|Browser Extensions|Curated Web|","Curated Web",1e+05,"operating","CA","SF Bay Area","Mountain View",1,"1","10","Q4","2010",0,0,0,0,0,0,1e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1","10","2010","1","10","2010","0"
"170","640 Labs","|Software|","Software",3050000,"operating","IL","Chicago","Chicago",3,"1","1","Q1","2013",2700000,0,0,0,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20","6","2014","20","10","2014","0"
"171","6connect","|Web Hosting|","Web Hosting",2e+06,"operating","CA","SF Bay Area","San Francisco",1,"1","1","Q1","2009",0,2e+06,0,0,0,0,0,0,0,0,0,0,0,2e+06,0,0,0,0,0,0,0,"23","8","2011","23","8","2011","0"
"172","6fusion","|Enterprise Software|","Enterprise Software",25250000,"operating","NC","Raleigh","Raleigh",5,"1","1","Q1","2008",0,10700000,0,0,0,14550000,0,0,0,0,0,0,0,3e+06,7e+06,0,0,0,0,0,0,"23","8","2010","10","9","2014","0"
"174","6Sense","|Predictive Analytics|","Predictive Analytics",1.2e+07,"operating","CA","SF Bay Area","San Francisco",2,"1","1","Q1","2013",0,1.2e+07,0,0,0,0,0,0,0,0,0,0,0,1.2e+07,0,0,0,0,0,0,0,"18","4","2013","19","5","2014","0"
"176","6th Sense Analytics","|Software|","Software",6700000,"acquired","NC","Raleigh","Morrisville",2,"1","1","Q1","2004",0,6700000,0,0,0,0,0,0,0,0,0,0,0,5e+06,0,0,0,0,0,0,0,"11","11","2005","31","1","2007","1"
